#{"t_start": 1607029383.054191, "env_id": null}
r,l,t
1.261905,12,114.373444
-0.785714,10,114.425863
1.214286,10,114.472018
1.261905,12,114.527102
1.190476,9,114.570556
1.190476,9,114.61404
-0.904762,5,114.640543
1.333333,15,114.712741
-0.785714,10,114.76257
-0.666667,15,114.993733
1.261905,12,115.04894
1.190476,9,115.090611
-0.928571,4,115.114109
-9.690476,14,115.178655
-9.738095,12,115.23302
-0.785714,10,115.280608
-0.785714,10,115.3308
1.190476,9,115.373794
-0.714286,13,115.437804
-9.785714,10,115.482338
-9.785714,10,115.527568
1.166667,8,115.563627
1.095238,5,115.588193
1.309524,14,115.651132
-0.809524,9,115.698387
1.238095,11,115.751633
1.214286,10,115.801135
-9.761905,11,115.852133
1.214286,10,115.900963
-0.880952,6,115.932808
-0.690476,14,116.004045
1.119048,6,116.034059
-9.833333,8,116.070089
1.142857,7,116.104381
1.214286,10,116.152121
1.214286,10,116.200702
1.142857,7,116.393493
1.095238,5,116.420799
1.119048,6,116.449915
1.214286,10,116.495057
-0.761905,11,116.546974
1.214286,10,116.593469
1.166667,8,116.632127
-0.809524,9,116.674995
-9.809524,9,116.718679
1.166667,8,116.756757
-9.761905,11,116.809228
1.285714,13,116.870565
1.238095,11,116.92259
1.190476,9,116.967966
-0.809524,9,117.013236
-0.809524,9,117.059547
-0.738095,12,117.118708
1.142857,7,117.153926
1.238095,11,117.206819
1.095238,5,117.2321
1.190476,9,117.275361
-0.880952,6,117.307205
-0.880952,6,117.337663
-0.761905,11,117.38944
1.166667,8,117.429731
1.095238,5,117.453774
1.333333,15,117.522777
-9.595238,18,117.785143
1.190476,9,117.827209
1.214286,10,117.872863
1.261905,12,117.926103
-0.690476,14,117.992371
-9.714286,13,118.051834
-9.809524,9,118.091445
-9.642857,16,118.163604
1.119048,6,118.19329
-0.738095,12,118.25246
1.142857,7,118.287182
1.142857,7,118.321794
-0.880952,6,118.352413
-0.761905,11,118.405724
-0.809524,9,118.455103
1.214286,10,118.502215
1.166667,8,118.538231
1.095238,5,118.56311
-0.785714,10,118.610903
1.333333,15,118.683796
1.380952,17,118.766867
1.119048,6,118.798985
-9.761905,11,118.852453
1.238095,11,118.903262
-0.928571,4,118.924664
1.142857,7,118.958018
1.190476,9,118.998978
-0.857143,7,119.186019
-0.666667,15,119.256354
1.190476,9,119.297773
1.166667,8,119.336486
1.214286,10,119.388952
1.119048,6,119.417946
-9.785714,10,119.470201
1.166667,8,119.509729
1.261905,12,119.566669
1.285714,13,119.630101
1.071429,4,119.650064
1.142857,7,119.683857
-9.714286,13,119.741611
-9.785714,10,119.78812
-0.690476,14,119.854846
-9.690476,14,119.92083
-0.785714,10,119.969006
-0.761905,11,120.021161
1.285714,13,120.079691
-0.642857,16,120.153099
1.119048,6,120.182212
-0.880952,6,120.210851
1.190476,9,120.252707
